,N1,add_closeness_centrality,add_average_degree_connectivity,add_avg_neighbor_deg,add_eigenvector_centrality_numpy,add_katz_centrality_numpy,avg_clustering,deg_cent,degree,degree_assortativity_coefficient,density,group_degree_centrality,large_clique_size,len_local_bridges,len_min_edge_dominating_set,len_min_maximal_matching,len_min_weighted_dominating_set,len_min_weighted_vertex_cover,ramsey_R2,mean_degree_mixing_matrix,nb_edges,nb_nodes,node_connectivity,treewidth_min_degree
34,45,0.5148514851485149,559.9397759103641,18.5,0.09383720946781404,0.1196073855737561,0.327,0.0576923076923077,6,-0.4533093337838824,0.02710622710622711,0.0576923076923077,4,51,22,22,25,44,222,0.00022956841138659318,148,105,1,4
35,46,0.5833333333333334,44.66666666666667,3.5,0.1948515322182906,0.31556839115967605,0.355,0.2857142857142857,2,-0.31707317073170715,0.42857142857142855,0.2857142857142857,4,0,4,4,3,8,8,0.027777777777777776,12,8,2,3
36,48,0.5454545454545454,283.9846153846154,6.777777777777778,0.13495720124735103,0.1991172176761836,0.33399999999999996,0.16666666666666666,9,-0.35604320830143743,0.05387205387205387,0.16666666666666666,4,21,15,15,16,30,102,0.0008650519031141869,80,55,1,3
37,49,0.5111111111111111,282.9814814814815,23.0,0.10543202852240006,0.12890976687991534,0.28600000000000003,0.043478260869565216,2,-0.579404907875752,0.0545790934320074,0.043478260869565216,4,27,9,9,2,18,111,0.0005948839976204639,59,47,1,3
38,50,0.5111111111111111,154.4,23.0,0.12344007232451203,0.16335224667087989,0.307,0.043478260869565216,1,-0.7334247380276174,0.10869565217391304,0.043478260869565216,4,15,4,4,1,8,40,0.001736111111111111,30,24,1,3
39,51,0.6875,58.16666666666666,3.5,0.4412088978617276,0.3547089387413471,0.33799999999999997,0.5454545454545454,6,-0.3095238095238096,0.3181818181818182,0.5454545454545454,3,0,6,6,4,12,15,0.020408163265306117,21,12,2,3
40,52,0.5609756097560976,205.3333333333333,6.4,0.23572939345237984,0.2297845835068949,0.303,0.21739130434782608,5,-0.5381636205395994,0.14130434782608695,0.21739130434782608,3,9,6,6,3,12,42,0.0025,39,24,1,4
41,54,0.5555555555555556,40.8,5.0,0.23286937153425163,0.2955449944963032,0.41600000000000004,0.2,2,-0.5518590998043051,0.2363636363636364,0.2,3,5,4,4,2,8,14,0.020408163265306117,13,11,1,2
42,55,0.573170731707317,209.97156177156182,4.75,0.508579474771266,0.2916257648681031,0.27399999999999997,0.2553191489361702,12,-0.17293489376207244,0.06560283687943262,0.2553191489361702,4,11,18,18,18,36,63,0.005917159763313609,74,48,1,3
43,56,0.5909090909090909,108.42857142857143,5.75,0.3910641462492154,0.3102137613621761,0.325,0.3076923076923077,4,-0.5666460012399255,0.2087912087912088,0.3076923076923077,4,7,4,4,5,8,36,0.009999999999999998,19,14,1,3
44,57,0.5454545454545454,57.0,6.0,0.1567441271088732,0.3050686759834527,0.581,0.16666666666666666,1,-0.7028985507246377,0.4761904761904762,0.16666666666666666,4,2,2,2,1,4,9,0.020408163265306117,10,7,1,3
45,58,0.6,13.0,3.0,0.28184519885486836,0.4511105021915275,0.5710000000000001,0.3333333333333333,1,-0.7142857142857144,0.6666666666666666,0.3333333333333333,3,1,2,2,1,4,4,0.0625,4,4,1,2
46,60,0.5348837209302325,69.62878787878788,7.666666666666668,0.2304192126782778,0.2278061645598617,0.319,0.13043478260869565,3,-0.5808197989172468,0.10144927536231883,0.13043478260869565,3,12,6,6,3,12,27,0.005917159763313609,28,24,1,2
47,61,0.5308641975308642,254.33805668016197,9.6,0.14148181225506906,0.19583526924462646,0.38799999999999996,0.11627906976744184,5,-0.6002699874294842,0.06659619450317125,0.11627906976744184,4,21,9,9,8,18,78,0.002770083102493075,63,44,1,3
48,62,0.5714285714285714,8.0,4.0,0.3535533905932738,0.42183074386605374,0.0,0.25,1,-1.0,0.4,0.25,2,4,1,1,1,2,8,0.04,4,5,1,1
49,63,0.6666666666666666,4.0,2.0,0.4999999999999997,0.5598852584152163,0.0,0.5,1,-1.0,0.6666666666666666,0.5,2,2,1,1,1,2,4,0.1111111111111111,2,3,1,1
50,64,0.6666666666666666,40.33333333333333,3.6666666666666665,0.3849328451957511,0.3813791776775541,0.634,0.5,3,-0.5693430656934306,0.4761904761904762,0.5,3,1,3,3,1,6,9,0.020408163265306117,10,7,1,2
51,65,0.5641025641025641,336.7454545454545,6.0,0.28817744349679747,0.2600890127911385,0.254,0.2272727272727273,10,-0.3792240118195911,0.07272727272727272,0.2272727272727273,4,16,14,14,15,28,87,0.00308641975308642,72,45,1,4
52,66,1.0,1.0,1.0,0.0,0.7071067811865476,0.0,1.0,1,0.0,1.0,1.0,2,1,1,1,1,2,2,0.25,1,2,1,1
53,68,0.5032397408207343,2561.573849631368,79.0,0.04901937996468147,0.03951265933521855,0.526,0.012875536480686695,3,-0.35615899835283543,0.0153332599684531,0.012875536480686695,4,67,61,61,30,122,447,3.501277966457757e-05,418,234,1,4
54,69,0.5220125786163522,455.9265010351967,14.142857142857142,0.2115152033769411,0.18357501352924735,0.247,0.08433734939759037,7,-0.4706476306952285,0.03499713138267355,0.08433734939759037,4,36,17,17,8,34,232,0.0008163265306122449,122,84,1,4
55,70,0.55,39.0,6.5,0.26642149547750726,0.2800732637861993,0.332,0.18181818181818185,2,-0.7887664606288635,0.19696969696969696,0.18181818181818185,3,7,2,2,1,4,27,0.006944444444444444,13,12,1,2
56,71,0.5114503816793893,461.53333333333336,23.0,0.08440059715341605,0.09577167097448053,0.33899999999999997,0.04477611940298507,3,-0.6519766340975799,0.037313432835820885,0.04477611940298507,4,43,10,10,4,20,159,0.00022956841138659318,85,68,1,3
57,72,0.5028901734104047,2820.634776334776,92.5,0.05395950604673508,0.04345612771561631,0.64,0.011494252873563218,2,-0.3549057888509629,0.02246305418719212,0.011494252873563218,4,28,52,52,2,104,309,3.5012779664577565e-05,342,175,1,4
58,73,0.5158730158730159,2666.413225619195,18.83333333333333,0.07543590571230568,0.03416324153248301,0.575,0.061538461538461535,12,-0.30064670972259905,0.02030350601779173,0.061538461538461535,4,30,63,63,43,126,333,3.5012779664577565e-05,388,196,1,5
59,74,0.5365853658536586,391.6709401709402,9.444444444444443,0.30899169993427583,0.23034136393799154,0.324,0.13636363636363635,9,-0.4952634680824072,0.046585255540479424,0.13636363636363635,4,26,18,18,12,36,129,0.001736111111111111,103,67,1,5
60,77,0.6666666666666666,27.0,3.5,0.411917276940497,0.4320489628260982,0.591,0.5,2,-0.7142857142857144,0.6,0.5,3,1,2,2,1,4,9,0.04,6,5,1,2
61,78,0.6666666666666666,15.333333333333332,2.333333333333333,0.4485153378785809,0.4026508717710387,0.0,0.5,3,-0.3333333333333334,0.3809523809523809,0.5,2,1,3,3,3,6,6,0.0625,8,7,1,2
62,79,0.55,31.6,5.5,0.2546690736677894,0.2894360155553955,0.32899999999999996,0.18181818181818185,2,-0.6232201533406352,0.19696969696969696,0.18181818181818185,3,7,4,4,2,8,16,0.015625,13,12,1,2
63,81,0.625,81.25,4.0,0.3424519264720828,0.3212520986137482,0.45299999999999996,0.4,4,-0.38461538461538464,0.3272727272727273,0.4,3,1,4,4,4,8,15,0.020408163265306117,18,11,1,3
64,82,0.5625,27.6,4.5,0.2975910540473844,0.3141219584066461,0.19699999999999998,0.2222222222222222,2,-0.5827338129496403,0.24444444444444444,0.2222222222222222,3,3,4,4,2,8,18,0.020408163265306117,11,10,1,2
65,83,0.6,15.25,3.0,0.3308720171818505,0.3797180787322868,0.282,0.3333333333333333,2,-0.42592592592592604,0.3333333333333333,0.3333333333333333,3,4,3,3,2,6,8,0.04,7,7,1,2
66,84,0.7272727272727273,175.5,5.6,0.31693119255352586,0.3266501714098009,0.7290000000000001,0.625,5,-0.4570135746606334,0.6388888888888888,0.625,4,0,3,3,1,6,12,0.012345679012345678,23,9,3,4
67,85,0.6,41.0,3.0,0.2260415820065868,0.3244686946952969,0.337,0.3333333333333333,3,-0.4835164835164836,0.26666666666666666,0.3333333333333333,3,5,2,2,2,4,10,0.015624999999999997,12,10,1,2
68,87,0.6,20.333333333333336,3.0,0.5182356290094395,0.3589098578726936,0.0,0.3333333333333333,3,-0.5545454545454543,0.2,0.3333333333333333,2,9,3,3,3,6,12,0.04,9,10,1,1
69,88,0.5825688073394495,724.4394894894895,5.333333333333333,0.5506412565073606,0.4486662368406079,0.212,0.28346456692913385,36,-0.13141070261044718,0.02546751968503937,0.28346456692913385,4,37,44,44,52,88,280,0.0007304601899196494,207,128,1,6
70,89,0.631578947368421,179.05555555555554,4.3,0.41689150667522645,0.3171095554497916,0.26,0.4166666666666666,10,-0.10370370370370373,0.16333333333333333,0.4166666666666667,3,0,10,10,8,20,33,0.008264462809917354,49,25,2,5
71,90,0.5058479532163743,2621.3294231513737,47.25,0.05805960210613285,0.042352846312594214,0.653,0.023121387283236997,4,-0.3571807112806073,0.02245697960268421,0.023121387283236997,4,32,51,51,11,102,412,3.501277966457757e-05,338,174,1,4
72,92,0.6666666666666666,14.0,3.0,0.394102719008055,0.43046326410715774,0.867,0.5,2,-0.5,0.6,0.5,3,0,2,2,1,4,6,0.04,6,5,1,2
73,93,0.6666666666666666,26.666666666666664,2.5,0.5066326974458304,0.39064509069288494,0.0,0.5,4,-0.3186813186813187,0.2777777777777778,0.5,2,4,4,4,4,8,10,0.04,10,9,1,2
74,94,0.5514018691588785,324.2690476190476,6.0,0.16682637956663326,0.2236314906979458,0.45399999999999996,0.1864406779661017,11,-0.3672239647701672,0.05028248587570622,0.1864406779661017,4,22,17,17,15,34,108,0.0011111111111111113,89,60,1,3
75,95,0.562874251497006,909.4395018877117,7.476190476190476,0.41413899552999855,0.3265620833067151,0.307,0.22340425531914893,21,-0.1737870307984595,0.041209406494960805,0.22340425531914893,4,24,32,32,33,64,196,0.002066115702479339,184,95,1,8
76,97,0.5333333333333333,54.0,9.0,0.21886420842986692,0.23311782571664974,0.249,0.125,2,-0.8341132428638278,0.1323529411764706,0.125,3,12,2,2,1,4,42,0.0034602076124567475,18,17,1,2
77,98,0.6666666666666666,4.0,2.0,0.4999999999999999,0.5598852584152163,0.0,0.5,1,-1.0,0.6666666666666666,0.5,2,2,1,1,1,2,4,0.1111111111111111,2,3,1,1
78,100,0.5294117647058824,123.28571428571428,9.0,0.19736565967482864,0.21080800485939755,0.498,0.1111111111111111,2,-0.5975254730713248,0.17543859649122806,0.1111111111111111,4,3,7,7,2,14,30,0.008264462809917356,30,19,1,3
79,101,0.5042492917847026,2368.082370543846,59.66666666666666,0.048249274547227466,0.02546294026579717,0.62,0.016853932584269662,3,-0.3511469354272205,0.021467578934153537,0.016853932584269662,4,36,53,53,21,106,321,3.5012779664577565e-05,342,179,1,4
80,104,0.6111111111111112,82.75,4.5,0.4106517209424638,0.3307678984710867,0.455,0.3636363636363637,4,-0.5328582739509106,0.24242424242424246,0.3636363636363637,3,4,4,4,3,8,21,0.015625,16,12,1,2
81,105,0.5526315789473685,212.56666666666663,7.0,0.21407473771346883,0.22362185497012696,0.45,0.19047619047619047,4,-0.6158304827061953,0.1645021645021645,0.19047619047619047,3,6,5,5,4,10,27,0.005917159763313609,38,22,1,3
82,106,1.0,1.0,1.0,0.0,0.7071067811865476,0.0,1.0,1,0.0,1.0,1.0,2,1,1,1,1,2,2,0.25,1,2,1,1
83,107,0.6428571428571429,57.0,3.5,0.32867220609542885,0.3423234138333552,0.511,0.4444444444444444,4,-0.5193965517241379,0.3333333333333333,0.4444444444444444,4,2,3,3,2,6,12,0.020408163265306117,15,10,1,3
84,108,0.6153846153846154,48.33333333333334,4.0,0.35860851878989225,0.34007867235021444,0.5579999999999999,0.375,3,-0.581081081081081,0.3611111111111111,0.375,3,1,4,4,2,8,15,0.027777777777777776,13,9,1,2
85,111,0.5086705202312138,2397.416703323558,34.166666666666664,0.06631012111749966,0.05224438046149056,0.647,0.03409090909090909,6,-0.3540233090266892,0.022149460708782744,0.03409090909090909,4,31,52,52,12,104,309,3.5012779664577565e-05,345,177,1,4
86,112,0.5097087378640777,2049.1929894179893,35.5,0.0935599057677583,0.09124043649626637,0.48100000000000004,0.0380952380952381,4,-0.3737848455927253,0.044923629829290206,0.0380952380952381,5,16,28,28,8,56,204,0.0001602307322544464,250,106,1,7
87,113,0.5652173913043478,61.58333333333333,5.0,0.40421838411702926,0.29279638339958697,0.21,0.2307692307692308,3,-0.5722543352601157,0.1868131868131868,0.2307692307692308,3,4,6,6,3,12,16,0.020408163265306117,17,14,1,2
88,114,0.6153846153846154,42.0,3.6666666666666665,0.3361602091900704,0.3468652732020548,0.31,0.375,3,-0.6135646687697159,0.3055555555555556,0.375,3,4,3,3,2,6,10,0.015625,11,9,1,2
89,116,0.5714285714285714,26.13333333333333,4.0,0.2425300003166895,0.32174985253596144,0.434,0.25,2,-0.5615141955835963,0.2777777777777778,0.25,3,4,3,3,2,6,10,0.015625,10,9,1,2
90,117,1.0,4.0,2.0,0.5773502691896257,0.5773502691896257,1.0,1.0,2,0.0,1.0,1.0,3,0,1,1,1,2,3,0.1111111111111111,3,3,2,2
91,118,0.5855855855855856,375.2154761904761,4.842105263157895,0.5587006679335873,0.34305878905370313,0.267,0.2923076923076923,19,-0.12329040630927422,0.05034965034965035,0.2923076923076923,5,18,24,24,27,48,132,0.0025,108,66,1,4
92,120,0.5806451612903226,154.75,6.6,0.30173508543960065,0.272066089951865,0.313,0.2777777777777778,5,-0.3259406927485672,0.19883040935672516,0.2777777777777778,4,5,7,7,3,14,40,0.008264462809917356,34,19,1,4
93,121,0.6296296296296297,102.2,3.8571428571428568,0.4551821085248979,0.33630689755604554,0.354,0.4117647058823529,7,-0.2359198998748436,0.16339869281045752,0.4117647058823529,4,7,7,7,8,14,27,0.01,25,18,1,3
94,123,0.7,78.33333333333333,4.5,0.3570042656288403,0.3615258616102088,0.58,0.5714285714285714,4,-0.05095541401273882,0.5357142857142857,0.5714285714285714,4,1,4,4,5,8,8,0.020408163265306117,15,8,1,3
95,124,0.5119617224880383,1828.7482252869252,25.0,0.08734328137437106,0.08266945028278877,0.461,0.04672897196261682,5,-0.3226725625586089,0.03997923156801662,0.04672897196261682,5,19,31,31,24,62,201,0.0001602307322544464,231,108,1,7
96,125,0.5833333333333334,33.33333333333333,4.0,0.30585997799207515,0.3438884599586608,0.171,0.2857142857142857,2,-0.6857142857142857,0.32142857142857145,0.2857142857142857,3,3,2,2,2,4,10,0.020408163265306117,9,8,1,2
97,126,0.5131578947368421,2023.5402595856162,28.0,0.1103664813411193,0.11013044645136336,0.45799999999999996,0.05128205128205129,6,-0.37924846506449694,0.03969288715051427,0.05128205128205128,5,19,33,33,8,66,225,0.0001602307322544464,274,118,1,7
98,127,0.6,13.0,3.0,0.2818451988548682,0.4511105021915275,0.552,0.3333333333333333,1,-0.7142857142857144,0.6666666666666666,0.3333333333333333,3,1,2,2,1,4,6,0.0625,4,4,1,2
99,128,0.5833333333333334,88.4,4.5,0.27805299254765825,0.2797589939857848,0.294,0.2857142857142857,4,-0.4197530864197532,0.21904761904761905,0.2857142857142857,3,5,6,6,6,12,24,0.020408163265306117,23,15,1,4
100,129,0.5357142857142857,55.57142857142857,7.5,0.215960747670547,0.2450144965700281,0.424,0.13333333333333333,2,-0.6155385128376124,0.15833333333333333,0.13333333333333333,3,8,4,4,2,8,30,0.006944444444444444,19,16,1,2
101,130,0.5194805194805194,467.27083333333337,14.333333333333336,0.09984500744128215,0.1264400269134564,0.486,0.07500000000000001,3,-0.48626890885676205,0.08414634146341464,0.075,4,12,10,10,5,20,90,0.0007304601899196494,69,41,1,3
102,131,0.5833333333333334,42.333333333333336,4.5,0.32518825938386225,0.33999153066989923,0.188,0.2857142857142857,2,-0.8279569892473116,0.35714285714285715,0.2857142857142857,3,2,3,3,2,6,10,0.027777777777777776,10,8,1,2
103,132,0.5806451612903226,153.58333333333331,5.6,0.3676834260950574,0.2849713424075429,0.386,0.2777777777777778,5,-0.2965328467153285,0.1695906432748538,0.2777777777777778,4,7,7,7,5,14,33,0.012345679012345678,29,19,1,3
104,133,0.5243243243243243,1139.536525974026,14.666666666666664,0.1339281936525276,0.13461945174757586,0.294,0.09278350515463918,9,-0.4715485024912509,0.04502419524510835,0.09278350515463918,5,21,29,29,25,58,180,0.0005408328826392644,214,98,1,8
105,135,0.6153846153846154,78.0,5.0,0.3258376255556241,0.32669520636668564,0.318,0.375,3,-0.6333333333333333,0.4166666666666667,0.375,3,1,4,4,2,8,15,0.020408163265306128,15,9,1,3
106,136,0.5384615384615384,40.5,7.0,0.19662006510385,0.30048850131037524,0.594,0.14285714285714285,1,-0.6493055555555557,0.35714285714285715,0.14285714285714285,3,2,3,3,1,6,8,0.015625,10,8,1,2
107,137,0.6428571428571429,66.0,4.5,0.39599474304804727,0.3438344031070943,0.24600000000000002,0.4444444444444444,4,-0.5542857142857143,0.3555555555555556,0.4444444444444444,3,2,4,4,2,8,18,0.020408163265306117,16,10,1,3
108,138,0.5086705202312138,1893.1506410256409,33.666666666666664,0.07355127018204478,0.06820616301311433,0.564,0.03409090909090909,3,-0.324397300820386,0.05515832482124617,0.03409090909090909,5,9,26,26,9,52,144,0.0001602307322544464,216,89,1,7
109,141,0.5176470588235295,333.8571428571429,16.333333333333332,0.12998305193055412,0.14379569821366653,0.248,0.06818181818181818,3,-0.5793021126805379,0.0595959595959596,0.06818181818181818,4,26,9,9,2,18,108,0.0005948839976204639,59,45,1,3
110,143,0.5076923076923077,668.0498729531339,39.0,0.10197505343070745,0.10504092661814562,0.302,0.030303030303030307,3,-0.5640695651232991,0.02848484848484848,0.030303030303030307,4,56,17,17,3,34,234,0.0001777777777777778,141,100,1,4
111,144,0.6666666666666666,79.25,4.75,0.37134741876440674,0.3504759064690009,0.462,0.5,4,-0.33333333333333337,0.4444444444444444,0.5,4,2,4,4,3,8,16,0.020408163265306117,16,9,1,4
112,148,0.631578947368421,66.56666666666666,3.4,0.26466990276418756,0.3206328647134203,0.551,0.4166666666666666,5,-0.17013086989992304,0.2564102564102564,0.4166666666666667,4,3,5,5,4,10,18,0.015625,20,13,1,3
113,149,0.5222222222222223,153.33333333333334,12.25,0.24054613192547658,0.18880911945766854,0.331,0.0851063829787234,4,-0.5924218123496391,0.0576241134751773,0.0851063829787234,3,20,10,10,4,20,96,0.002770083102493075,65,48,1,3
114,150,0.5405405405405406,271.08333333333337,7.333333333333332,0.10794142034713268,0.17650904222246994,0.447,0.15000000000000002,3,-0.4665199622760139,0.19047619047619047,0.15,4,3,6,6,5,12,26,0.00308641975308642,40,21,1,4
115,151,0.5120481927710844,515.3286951144094,22.25,0.08758320354675682,0.10501398279054026,0.28800000000000003,0.047058823529411764,4,-0.4868683049321267,0.03064295485636115,0.047058823529411764,4,49,15,15,5,30,264,0.0002295684113865932,112,86,1,3
116,153,0.5118110236220472,1974.5813160063642,33.166666666666664,0.12462603091971786,0.12767553454167174,0.434,0.04615384615384616,6,-0.368792089279166,0.035584263065179096,0.04615384615384616,5,22,38,38,24,76,246,0.0001602307322544464,303,131,1,9
117,154,0.5173410404624278,2797.763405797101,17.666666666666668,0.08980718680195807,0.0799225963083989,0.616,0.0670391061452514,12,-0.3451618619172989,0.02160148975791434,0.0670391061452514,4,32,54,54,32,108,318,3.501277966457757e-05,348,180,1,4
118,155,0.5103244837758112,2621.3294231513737,28.142857142857146,0.06659576755807627,0.04765695214221455,0.639,0.04046242774566474,7,-0.3571807112806073,0.02245697960268421,0.04046242774566474,4,32,51,51,11,102,412,3.501277966457757e-05,338,174,1,4
119,156,0.5088235294117647,2621.3294231513737,32.333333333333336,0.06276616575694283,0.04378091546662307,0.638,0.03468208092485549,6,-0.3571807112806073,0.02245697960268421,0.03468208092485549,4,32,51,51,11,102,412,3.501277966457757e-05,338,174,1,4
120,158,0.5082644628099173,539.0649769585253,32.25,0.08684561407327836,0.1053219431337191,0.311,0.032520325203252036,4,-0.5248909537979821,0.021505376344086027,0.032520325203252036,4,70,23,23,4,46,288,0.0001777777777777778,164,124,1,3
121,159,0.5384615384615384,50.0,7.0,0.25221504624557756,0.2590172062576426,0.0,0.14285714285714285,2,-0.7122577122577123,0.1523809523809524,0.14285714285714285,2,9,3,3,2,6,22,0.008264462809917356,16,15,1,2
